Sr No.,Acknowledgement No,Bank A/C Number,IFSC Code,Address,Amount,Disputed Amount,Bank Name
413,ACK2025000413,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",32492,31544,State Bank of India
414,ACK2025000414,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",40742,36527,IndusInd Bank
415,ACK2025000415,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",32634,32342,Yes Bank
416,ACK2025000416,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",30033,22595,Punjab National Bank
417,ACK2025000417,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",33621,26984,HDFC Bank
418,ACK2025000418,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",11548,11320,Punjab National Bank
419,ACK2025000419,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",15247,12889,Punjab National Bank
420,ACK2025000420,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52989,40631,ICICI Bank
421,ACK2025000421,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",12296,9297,IndusInd Bank
422,ACK2025000422,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",8026,7879,HDFC Bank
423,ACK2025000423,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",50526,40344,Punjab National Bank
424,ACK2025000424,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",29743,27371,Bank of Baroda
425,ACK2025000425,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",11548,9719,IndusInd Bank
426,ACK2025000426,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",32160,24566,IndusInd Bank
427,ACK2025000427,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",40943,38530,HDFC Bank
428,ACK2025000428,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",38052,37799,Punjab National Bank
429,ACK2025000429,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",51270,38580,IndusInd Bank
430,ACK2025000430,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",18601,14040,HDFC Bank
431,ACK2025000431,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",8101,7365,HDFC Bank
432,ACK2025000432,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",13604,11407,ICICI Bank
433,ACK2025000433,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",47378,41772,Yes Bank
434,ACK2025000434,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",38765,37925,ICICI Bank
435,ACK2025000435,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",50804,36286,Punjab National Bank
436,ACK2025000436,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",7725,6259,Bank of Baroda
437,ACK2025000437,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",32265,30490,ICICI Bank
438,ACK2025000438,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",19883,16966,Bank of Baroda
439,ACK2025000439,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",16550,12649,Yes Bank
440,ACK2025000440,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",45752,36695,Bank of Baroda
441,ACK2025000441,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19209,18953,Bank of Baroda
442,ACK2025000442,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",50307,47287,Bank of Baroda
443,ACK2025000443,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",33798,26455,IndusInd Bank
444,ACK2025000444,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",5751,4304,ICICI Bank
445,ACK2025000445,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22710,22069,ICICI Bank
446,ACK2025000446,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",18268,13548,Bank of Baroda
447,ACK2025000447,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",46473,42771,Bank of Baroda
448,ACK2025000448,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",10201,9259,Bank of Baroda
449,ACK2025000449,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",13700,11452,State Bank of India
450,ACK2025000450,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",9547,8563,Bank of Baroda
451,ACK2025000451,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",29782,25451,HDFC Bank
452,ACK2025000452,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",49008,44841,IndusInd Bank
453,ACK2025000453,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",48673,43870,Bank of Baroda
454,ACK2025000454,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16804,12206,ICICI Bank
455,ACK2025000455,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",24800,24290,IndusInd Bank
456,ACK2025000456,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",47915,38665,ICICI Bank
457,ACK2025000457,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",42383,39420,Bank of Baroda
458,ACK2025000458,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",54470,43868,State Bank of India
459,ACK2025000459,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",40848,31295,HDFC Bank
460,ACK2025000460,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",34940,28606,Bank of Baroda
461,ACK2025000461,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",36405,30779,IndusInd Bank
462,ACK2025000462,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",29093,27962,ICICI Bank
463,ACK2025000463,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",46598,46374,Bank of Baroda
464,ACK2025000464,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",18154,14037,Punjab National Bank
465,ACK2025000465,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",24815,18830,HDFC Bank
466,ACK2025000466,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",25056,24322,ICICI Bank
467,ACK2025000467,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",26072,19209,Yes Bank
468,ACK2025000468,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",22427,17060,Bank of Baroda
469,ACK2025000469,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",49960,46053,ICICI Bank
470,ACK2025000470,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",37754,28945,State Bank of India
471,ACK2025000471,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",53213,52764,Bank of Baroda
472,ACK2025000472,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",29804,22627,ICICI Bank
473,ACK2025000473,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",9473,6922,Bank of Baroda
474,ACK2025000474,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",22348,20284,Bank of Baroda
475,ACK2025000475,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",41943,34385,ICICI Bank
476,ACK2025000476,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",18717,14307,Yes Bank
477,ACK2025000477,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",36284,33624,Bank of Baroda
478,ACK2025000478,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",20473,17975,HDFC Bank
479,ACK2025000479,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",52190,40086,Bank of Baroda
480,ACK2025000480,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",10555,7749,ICICI Bank
481,ACK2025000481,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",36099,35397,Yes Bank
482,ACK2025000482,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",45130,32935,IndusInd Bank
483,ACK2025000483,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",20999,15303,IndusInd Bank
484,ACK2025000484,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",20333,14588,Yes Bank
485,ACK2025000485,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",28796,20670,Bank of Baroda
486,ACK2025000486,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",49977,42991,State Bank of India
487,ACK2025000487,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",26408,18726,IndusInd Bank
488,ACK2025000488,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",45543,38681,State Bank of India
489,ACK2025000489,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",49439,35417,Bank of Baroda
490,ACK2025000490,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",32423,31533,Bank of Baroda
491,ACK2025000491,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",20184,18870,State Bank of India
492,ACK2025000492,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",29164,22066,Punjab National Bank
493,ACK2025000493,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",51853,42907,ICICI Bank
494,ACK2025000494,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",49589,39730,ICICI Bank
495,ACK2025000495,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",53519,39462,Yes Bank
496,ACK2025000496,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",47818,46512,Bank of Baroda
497,ACK2025000497,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",47595,44060,Punjab National Bank
498,ACK2025000498,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",25827,22427,Bank of Baroda
499,ACK2025000499,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",31908,29789,ICICI Bank
500,ACK2025000500,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",19813,14116,Bank of Baroda
501,ACK2025000501,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",28156,26567,Punjab National Bank
502,ACK2025000502,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",10893,8906,ICICI Bank
503,ACK2025000503,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",26012,23981,Bank of Baroda
504,ACK2025000504,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",51783,37199,Bank of Baroda
505,ACK2025000505,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",43921,42643,IndusInd Bank
506,ACK2025000506,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",12178,11339,HDFC Bank
507,ACK2025000507,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",29938,22536,Bank of Baroda
508,ACK2025000508,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",18150,14399,Bank of Baroda
509,ACK2025000509,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",12629,10358,Bank of Baroda
510,ACK2025000510,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",33407,24443,Bank of Baroda
511,ACK2025000511,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",41618,39389,Bank of Baroda
512,ACK2025000512,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",43419,31332,IndusInd Bank
513,ACK2025000513,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",49128,36370,IndusInd Bank
514,ACK2025000514,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",50809,50188,IndusInd Bank
515,ACK2025000515,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",16505,16209,Bank of Baroda
516,ACK2025000516,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",10441,9661,Yes Bank
517,ACK2025000517,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35181,24653,ICICI Bank
518,ACK2025000518,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",32369,31734,Bank of Baroda
519,ACK2025000519,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",8491,6711,Bank of Baroda
520,ACK2025000520,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44463,41311,ICICI Bank
521,ACK2025000521,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",22727,19615,State Bank of India
522,ACK2025000522,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",52781,47268,HDFC Bank
523,ACK2025000523,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",29769,25501,Bank of Baroda
524,ACK2025000524,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",25846,19400,IndusInd Bank
525,ACK2025000525,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",53131,47754,Bank of Baroda
526,ACK2025000526,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",46735,35504,Bank of Baroda
527,ACK2025000527,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",34202,28195,Yes Bank
528,ACK2025000528,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",42984,37368,Bank of Baroda
529,ACK2025000529,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",32181,27143,Punjab National Bank
530,ACK2025000530,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",15338,14403,Punjab National Bank
531,ACK2025000531,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",31369,27053,ICICI Bank
532,ACK2025000532,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",15421,12731,HDFC Bank
533,ACK2025000533,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",20926,15248,IndusInd Bank
534,ACK2025000534,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",18548,16836,Bank of Baroda
535,ACK2025000535,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",7751,6393,Bank of Baroda
536,ACK2025000536,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",26549,19742,Bank of Baroda
537,ACK2025000537,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",19996,18181,State Bank of India
538,ACK2025000538,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",29636,21838,Bank of Baroda
539,ACK2025000539,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19991,18432,HDFC Bank
540,ACK2025000540,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",53040,51929,ICICI Bank
541,ACK2025000541,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",39778,39129,State Bank of India
542,ACK2025000542,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",11002,8814,Punjab National Bank
543,ACK2025000543,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",23044,18179,Punjab National Bank
544,ACK2025000544,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",48901,36070,ICICI Bank
545,ACK2025000545,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",9243,8525,ICICI Bank
546,ACK2025000546,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",8237,8200,Bank of Baroda
547,ACK2025000547,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",41671,36451,IndusInd Bank
548,ACK2025000548,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14174,10606,ICICI Bank
549,ACK2025000549,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",22622,19107,Bank of Baroda
550,ACK2025000550,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",54264,52578,Bank of Baroda
551,ACK2025000551,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",19553,13964,IndusInd Bank
552,ACK2025000552,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",41572,40480,Punjab National Bank
553,ACK2025000553,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",24612,23804,HDFC Bank
554,ACK2025000554,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",38837,31117,Bank of Baroda
555,ACK2025000555,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",36636,32467,Bank of Baroda
556,ACK2025000556,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",39908,33773,Bank of Baroda
557,ACK2025000557,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",37863,28964,Bank of Baroda
558,ACK2025000558,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",20376,14790,IndusInd Bank
559,ACK2025000559,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",26356,18981,ICICI Bank
560,ACK2025000560,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",17377,13739,IndusInd Bank
561,ACK2025000561,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44777,41669,ICICI Bank
562,ACK2025000562,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",38412,30772,Bank of Baroda
563,ACK2025000563,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",51792,37323,Bank of Baroda
564,ACK2025000564,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",27802,24225,Bank of Baroda
565,ACK2025000565,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",30678,26390,ICICI Bank
566,ACK2025000566,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",20633,14912,ICICI Bank
567,ACK2025000567,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",8525,8282,Bank of Baroda
568,ACK2025000568,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",46319,34202,IndusInd Bank
569,ACK2025000569,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",18821,13219,ICICI Bank
570,ACK2025000570,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22106,18757,ICICI Bank
571,ACK2025000571,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",30261,28484,IndusInd Bank
572,ACK2025000572,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22748,21296,ICICI Bank
573,ACK2025000573,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",7905,7889,HDFC Bank
574,ACK2025000574,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52989,44217,ICICI Bank
575,ACK2025000575,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",29992,27688,Bank of Baroda
576,ACK2025000576,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",12786,11623,HDFC Bank
577,ACK2025000577,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",5460,3984,Bank of Baroda
578,ACK2025000578,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",33734,27414,Punjab National Bank
579,ACK2025000579,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",40746,29950,ICICI Bank
580,ACK2025000580,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",15052,11778,Bank of Baroda
581,ACK2025000581,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",15115,13580,State Bank of India
582,ACK2025000582,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",23749,20788,Yes Bank
583,ACK2025000583,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",26314,22486,Bank of Baroda
584,ACK2025000584,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",8711,8351,Punjab National Bank
585,ACK2025000585,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",41535,38312,Yes Bank
586,ACK2025000586,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",29020,24269,ICICI Bank
587,ACK2025000587,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16597,13276,ICICI Bank
588,ACK2025000588,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",53260,39038,HDFC Bank
589,ACK2025000589,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",30890,28377,ICICI Bank
590,ACK2025000590,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",18555,13742,State Bank of India
591,ACK2025000591,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",46170,41070,Bank of Baroda
592,ACK2025000592,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",16834,16393,Bank of Baroda
593,ACK2025000593,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",7913,7603,ICICI Bank
594,ACK2025000594,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52433,39905,ICICI Bank
595,ACK2025000595,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",42180,32710,Bank of Baroda
596,ACK2025000596,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",17675,14793,HDFC Bank
597,ACK2025000597,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",41333,33265,Bank of Baroda
598,ACK2025000598,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",46165,41823,IndusInd Bank
599,ACK2025000599,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",52847,45299,IndusInd Bank
600,ACK2025000600,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",37080,31768,Yes Bank
601,ACK2025000601,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",14503,12352,HDFC Bank
602,ACK2025000602,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",18063,17210,State Bank of India
603,ACK2025000603,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",28028,22471,Yes Bank
604,ACK2025000604,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",37947,28062,HDFC Bank
605,ACK2025000605,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",17470,13379,Punjab National Bank
606,ACK2025000606,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",53655,38760,HDFC Bank
607,ACK2025000607,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33994,31569,ICICI Bank
608,ACK2025000608,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",54481,40139,Bank of Baroda
609,ACK2025000609,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",8543,6651,ICICI Bank
610,ACK2025000610,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",40865,32921,Bank of Baroda
611,ACK2025000611,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",9037,7085,Yes Bank
612,ACK2025000612,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",15901,14783,Bank of Baroda
613,ACK2025000613,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",23535,16725,Punjab National Bank
614,ACK2025000614,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",50642,43970,ICICI Bank
615,ACK2025000615,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",43594,32590,ICICI Bank
616,ACK2025000616,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",21144,16707,Bank of Baroda
617,ACK2025000617,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",25889,21561,IndusInd Bank
618,ACK2025000618,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",40137,30243,Bank of Baroda
